1,2,3,4,5,6,7,8.,9,10,11,12
0.86551,0.00500,0.12202,0.00665,0.00000,0.00000,0.00000,0.00000,0.00020,0.00001,0.00061,0.00000
0.00000,0.82223,0.01762,0.15841,0.00000,0.00135,0.00000,0.00000,0.00000,0.00000,0.00039,0.00000
0.00267,0.00000,0.98867,0.00675,0.00164,0.00007,0.00017,0.00001,0.00003,0.00000,0.00000,0.00000
0.00000,0.00300,0.00716,0.98010,0.00000,0.00918,0.00000,0.00048,0.00000,0.00007,0.00000,0.00000
0.00560,0.00000,0.53693,0.00001,0.37597,0.00000,0.07350,0.00000,0.00799,0.00000,0.00000,0.00000
0.00000,0.00018,0.00006,0.33588,0.00000,0.64071,0.00000,0.02308,0.00000,0.00009,0.00000,0.00000
0.00017,0.00000,0.20947,0.00000,0.22144,0.00000,0.52745,0.04141,0.00007,0.00000,0.00000,0.00000
0.00000,0.00001,0.00522,0.13516,0.00455,0.15537,0.01233,0.64638,0.00000,0.00185,0.00000,0.03915
0.09146,0.05322,0.00000,0.00000,0.00000,0.00000,0.29460,0.28784,0.27284,0.00000,0.00003,0.00000
0.00000,0.02024,0.00000,0.88480,0.00482,0.00043,0.00000,0.08603,0.00000,0.00367,0.00000,0.00000
0.29331,0.44921,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00139,0.00000,0.25609,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00095,0.23520,0.00000,0.00000,0.00000,0.76385
