1,2,3,4,5,6,7,8,9,10,11,12
0.98773,0.01227,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.97402,0.00000,0.00000,0.00000,0.02598,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.99154,0.00694,0.00118,0.00012,0.00021,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00763,0.96601,0.00000,0.02618,0.00000,0.00018,0.00000,0.00000,0.00000,0.00000
0.00013,0.00000,0.00099,0.00000,0.98178,0.00566,0.01144,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00000,0.02494,0.00868,0.95519,0.00001,0.01119,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00000,0.00000,0.08685,0.00000,0.90558,0.00530,0.00227,0.00000,0.00000,0.00000
0.00000,0.00000,0.00000,0.00732,0.00000,0.08536,0.00938,0.89176,0.00000,0.00000,0.00000,0.00618
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00516,0.00398,0.98689,0.00397,0.00000,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00697,0.99303,0.00000,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99952,0.00048
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.14278,0.00000,0.00000,0.14217,0.71505
